Id_LP;Age;Sex;Nationality;Native_language;Education;Professional_degree;Employment_main;Current_year_study;Institution_type;Time_ spent;Domain;Topic;Experience_time;Id_ LO_1;URL_1;Query_1;Reason_1;Id_ LO_2;URL_2;Query_2;Reason_2;Id_ LO_3;URL_3;Query_3;Reason_3;Comments;LP_documents_extension;Documents_language;Documents_type
51;25-29 years old;Man;Chilean;Spanish;Bachelor;Laws;Student;6th year;Higher-level institution;5;Law ;Inheritance law in Chile;4-5 years;5021;https://es.m.wikipedia.org/wiki/Derecho_de_sucesiones;Derecho sucesorio;Aproximación general al tema en una fuente confiable.;5022;https://movil.eldefinido.cl/actualidad/pais/10482/A-quien-le-toca-la-fortuna-de-Juan-Guia-para-entender-el-sistema-de-herencia-en-Chile/;Desheredamiento Chile;Explicación práctica y aplicada del tema en un lenguaje sencillo. Responde la pregunta por el desheredamiento.;5023;https://www.bcn.cl/leyfacil/recurso/posesion-efectiva-sin-testamento;Sucesorio BCN;Refiere a un tema de gran utilidad práctica en un lenguaje sencillo. Tangencialmente trata los temas objeto de consulta. La fuente es confiable y remite a la legislación vigente. ;Habría preferido recomendar textos más académicos, sin embargo, me vi constreñido por la limitante de los 20 minutos. Tengo la sensación de que la estudio va dirigida a analizar el proceso de búsqueda de información en línea antes que a recopilar textos de utilidad para la mejor explicación de estas materias. Ello me lleva a responder con algo de desconfianza hacia los realizadores del estudio.;Short;Spanish;Text
52;25-29 years old;Man;Chilean;Spanish;Bachelor;Laws;Lecturer;;Higher-level institution;4;Law ;Inheritance law in Chile;2-3 years;5031;https://www.chileatiende.gob.cl/fichas/3364-posesion-efectiva-de-herencias-sin-testamento;derecho sucesorio chile;Fácil comprensión ;5032;https://www.bcn.cl/leyfacil/recurso/posesion-efectiva-sin-testamento;Derecho sucesorio chile;Información completa y de fácil comprensión ;5033;https://dudalegal.cl/que-es-un-testamento.html;derecho sucesorio chile;Información relevante de fácil comprensión ;;Short;Spanish;Text
53;50-54 years old;Man;Venezuelan;Spanish;PhD;Biomedical engineering;Lecturer;;Higher-level institution;4;Biology ;Bioethics of animal tissue cloning for human intake;> 10 years;6011;https://lagenetica.info/es/genetica-presente-y-futuro/la-clonacion-y-las-celulas-madre/;bioética clonación de tejidos animales;información relevante y fácil de entender;6012;https://www.bbvaopenmind.com/ciencia/investigacion/los-limites-de-la-clonacion/;bioética clonación de tejidos animales;Información actualizada y relevante;6013;https://www.actaodontologica.com/ediciones/2011/2/art-26/;bioética clonación de tejidos animales;Información relevante de la parte ética;;Short;Spanish;Text
54;55-59 years old;Man;Mexican;Spanish;PhD;Business;Lecturer;;Higher-level institution;3;Finance ;Investment projects;> 10 years;2051;http://www.finanzasparaemprendedores.planetadelibros.com/img/1capitulo.pdf;Finanzas para emprendedores;sencillo, corto y con datos concretos;2052;https://www.stodomingo.ute.edu.ec/content/102001-322-1-2-2-8/TEXTO_GUIA_1_El_e_m_p_r_e__n_d_e_d__o_r_de_E_x_i_t_o.pdf;El Emprendedor de Exito;Es una guía básica para cualquier emprendedor;2053;https://definicion.de/tasa-de-interes/;tasa de interés;la importancia de entender su concepto y cómo funciona (tiene faltas de tildes en período);Falta un poco más de contexto de la aplicación (tipo de programa);Long;Spanish;Text
55;30-34 years old;Woman;Chilean;Spanish;PhD;Physics;Lecturer;;Higher-level institution;5;Physics ;Quantum computing;6-9 years;4031;https://es.wikipedia.org/wiki/Computación_cuántica;computador clásico versus cuántico;Un buen resumen;4032;https://www.xataka.com/ordenadores/computacion-cuantica-que-es-de-donde-viene-y-que-ha-conseguido;computador clásico versus cuántico;Es más explicativo para alguien que no sabe de física cuántica;4033;https://www.bbc.com/mundo/noticias-38856796;como funciona un computador cuántico ;Da unda idea más tecnológica;Creo que deberían especificar mejor por ejemplo el idioma de los documentos que piden. Es difícil encontrar algo sobre computación cuántica en español y que sea relativamente correcto. ;Short;Spanish;Text
56;35-39 years old;Man;Mexican;Spanish;PhD;Physics;Lecturer;;Higher-level institution;4;Physics ;Quantum computing;4-5 years;4041;http://www.comoves.unam.mx/numeros/articulo/67/computacion-cuantica;Computación cuántica revista cómo ves;Elegí este documento porque la Revista ¿Cómo Ves? es un excelente medio de difusión de la ciencia en México. Esta revista va a dirigida al público en general por lo que sus contenidos pueden ser leídos por jóvenes de 14 años sin problemas. Además, los autores del artículo son reconocidos expertos mexicanos.;4042;https://www.revistac2.com/del-computo-cuantico-y-de-sus-universos-paralelos-parte-1/;Computadora cuántica revista c2;"La revista ""C2, ciencia y cultura"" es otro excelente medio mexicano de difusión de la ciencia. Este artículo, dividido en dos partes (aquí pongo el enlace de la primera parte), me pareció muy claro. Tiene algunos muy pocos detalles que podrían dificultarse para jóvenes de 14 años pero la mayor parte del artículo puede leerse sin problemas. El autor es un reconocido experto en el tema en México.";4043;https://www.revistac2.com/del-computo-cuantico-y-de-sus-universos-paralelos-parte-2/;Computadora cuántica revista c2;"La revista ""C2, ciencia y cultura"" es otro excelente medio mexicano de difusión de la ciencia. Este artículo, dividido en dos partes (aquí pongo el enlace de la segunda parte), me pareció muy claro. Tiene algunos muy pocos detalles que podrían dificultarse para jóvenes de 14 años pero la mayor parte del artículo puede leerse sin problemas. El autor es un reconocido experto en el tema en México.";;Short;Spanish;Text
58;30-34 years old;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;4-5 years;1261;http://halweb.uc3m.es/esp/Personal/personas/jmmarin/esp/DM/tema3dm.pdf;redes neuronales aprendizaje;buena sistematización de los contenidos;1262;https://www.toptal.com/machine-learning/un-tutorial-de-aprendizaje-profundo-de-perceptrones-a-redes-profundas;redes neuronales tutorial;"Porque era aún más ""abordable"" que el primero e introduce al concepto de deep learning";1263;https://www.geekosas.com/index.php/2016/04/18/jugando-con-redes-neuronales/;simulación redes neuronales;porque contiene links a varios simuladores donde se puede ver en la práctica algunas configuraciones de redes de este tipo.;;Long;Spanish;Text
59;35-39 years old;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1271;https://es.wikipedia.org/wiki/Red_neuronal_artificial;wikipedia + red neuronal;Wikipedia es mi primera fuente para comenzar a introducirme en cualquier tema, tiene un vocabulario universal no muy formal y un nivel de profundidad adecuado para empezar. Además otorga hipervínculos para ampliar la búsqueda;1272;https://www.monografias.com/trabajos95/redes-neuronales-artificiales-metodologia-desarrollo-y-aplicaciones/redes-neuronales-artificiales-metodologia-desarrollo-y-aplicaciones.shtml;introduccion a redes neuronales;monografias.com es una página escrita de manera gratuita por voluntarios. En general los autores saben de lo que escriben. El artículo está bastante completo, e inicia dando una buena introducción de las redes neuronales biológicas;1273;https://es.mathworks.com/discovery/neural-network.html;introduccion a redes neuronales;Sitio de Matlab, una aplicación de desarrollo y análisis numérico que entre todas sus potencialidades, permite implementar redes neuronales. La gracia es que es un sitio fidedigno, y está orientado a la implementación práctica de redes neuronales para aplicaciones concretas, sin por ello prescindir de una explicación introductoria.;;Short;Spanish;Text
60;50-54 years old;Man;Chilean;Spanish;PhD;;Faculty;;Higher-level institution;5;Industrial ;Industrial Revolution;4-5 years;3041;https://es.wikipedia.org/wiki/Revolución_Industrial;revolución industrial;popular;3042;https://www.historialuniversal.com/2010/09/revolucion-industrial.html;revolución industrial;serio;3043;https://es.wikipedia.org/wiki/Segunda_Revolución_Industrial;segunda revolución industriial;popular, estándar;;Short;Spanish;Text
61;30-34 years old;Man;Chilean;Spanish;PhD;Electronic engineering;Lecturer;;Higher-level institution;0;Computer ;Artificial neural networks;4-5 years;1281;https://docs.google.com/presentation/d/e/2PACX-1vSprShgLH_5DiFdhVOopcHVnpX6pxydz-_Os1yhgEOD5X6oEaiVo7jhJJwT2Zzdqb3rR4KQZfEroUiu/pub?start=false&loop=false&delayms=3000;;material introductorio y simple;1282;https://www.toptal.com/machine-learning/un-tutorial-de-aprendizaje-profundo-de-perceptrones-a-redes-profundas;redes neuronales artificiales profundas simple;completo y en lenguaje simple pero se requiere más de 20 minutos para leerlo;1283;https://github.com/fcharte/Redes-Neuronales/blob/master/RedesNeuronales.md;"red neuronal profunda tutorial ""basico""";no encontré nada mejor en idioma español;;Long;Spanish;Text/Multimedia
62;25-29 years old;Woman;Chilean;Spanish;Bachelor;Industrial engineering;Student;5th year;Higher-level institution;4;Industrial ;Industrial Revolution;4-5 years;3051;https://enciclopediadehistoria.com/revolucion-industrial/;objetivo revolución industrial;Por que explica brevemente lo que es una revolución industrial, añade las causas y consecuencias;3052;https://prezi.com/sghdtzza_iqa/las-4-revoluciones-industriales/;las 4 revoluciones industriales prezi;Porque explica de una forma didáctica cada una de las revoluciones industriales a lo largo del tiempo.;3053;https://www.anepe.cl/wp-content/uploads/infografia_REVOLUCIONES_pdf.pdf;anepe revolucion industrial;Porque explica la etapa actual de la revolución indutrial tecnológica;"Me parece interesante que puedan orientar a los jovenes sobre la forma de informarse por la Web. A veces hay tanto contenido que no todos tienen la capacidad de saber por donde empezar a investigar o de que fuente fiarse.

";Short;Spanish;Text/Multimedia
63;35-39 years old;Man;Spanish;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;> 10 years;1291;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;¿Qué son la redes neuronales?;complejidad y tamaño;1292;https://www.ibm.com/support/knowledgecenter/es/SSLVMB_sub/statistics_mainhelp_ddita/spss/neural_network/nnet_whatis.html;¿Qué son la redes neuronales?;Simplicidad y tamaño;1293;https://www.t-systemsblog.es/redes-neuronales/;¿Qué son la redes neuronales?;Tamaño;;Short;Spanish;Text
64;30-34 years old;Man;Ecuadorian;Spanish;PhD;Computer engineering;Lecturer;;Research group;2;Computer ;Artificial neural networks;4-5 years;1301;https://planetachatbot.com/c%C3%B3mo-empezar-con-reconocimiento-de-imagen-y-redes-neuronales-convolucionales-en-5-minutos-7f651054dfd7;redes neuronales convolucionales paso a paso;vocabulario, primeras coincidencias del buscador;1302;https://medium.com/@jcrispis56/introducci%C3%B3n-al-deep-learning-parte-2-redes-neuronales-convolucionales-f743266d22a0;redes neuronales convolucionales paso a paso;Por el sitio web que presenta siempre material interesante del area;1303;https://es.quora.com/C%C3%B3mo-funcionan-las-redes-neuronales-convolucionales;redes neuronales convolucionales explicacion;Sitio web especializado en responder preguntas de forma sencilla;;Short;Spanish;Text
66;30-34 years old;Man;Ecuadorian;Spanish;Bachelor;Computer engineering;Lecturer;;Higher-level institution;3;Computer ;Artificial neural networks;4-5 years;1311;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;que es una red neuronal;diversidad de ejemplos;1312;https://www.unocero.com/software/como-funcionan-las-redes-neuronales/;como funciona una red neuronal artificial;Por que se encuentra información detallado ;1313;https://www.codigofuente.org/redes-neuronales-profundas-tipos-caracteristicas/;que es una redes neuronal profundas;Por que se encuentra un resumen del tema;Las indicaciones para realizar el cuestionario deben estar mas resumidas, con ejemplos;Short;Spanish;Text
67;40-44 years old;Man;Ecuadorian;Spanish;Bachelor;Computer engineering;Lecturer;;Higher-level institution;3;Computer ;Artificial neural networks;> 10 years;1321;https://medium.com/@williamkhepri/redes-neuronales-que-son-a64d022298e0;que es una red neuronal;información clara y con ejemplos;1322;https://zonaia.com/tutoriales-machine-learning/redes-neuronales-profundas/;que es una red neuronal profunda;información resumida;1323;https://www.ibm.com/support/knowledgecenter/es/SS3RA7_sub/modeler_mainhelp_client_ddita/components/neuralnet/neuralnet_model.html;como funciona una red neuronal;fuente de información de IBM;La encuesta no es muy amigable para realizarla desde el celular;Short;Spanish;Text
68;25-29 years old;Man;Chilean;Spanish;Bachelor;Computer engineering;Student;6th year;Higher-level institution;4;Computer ;Artificial neural networks;< 1 year;1331;https://towardsdatascience.com/machine-learning-for-beginners-an-introduction-to-neural-networks-d49f22d238f9;neural network and deep learning;Documento rápido de leer, explica de manera simple que es una red neurona, sus componentes y funcionamiento. Buena introducción al tema.;1332;https://www.educba.com/neural-networks-vs-deep-learning/;neural network and deep learning;Aunque es un curso se puede ver a presentación sobre la comparación entre red neuronal y deep learning de manera simple y grafica.;1333;https://machinelearningmastery.com/a-tour-of-machine-learning-algorithms/;machine learning algorithms;Descripción de los algoritmos, las diferencias entre esots explicado con imagenes y no muy complejo.;;Short;English;Text
69;25-29 years old;Man;Chilean;Spanish;Master;Computer engineering;Student;1st year;Higher-level institution;4;Computer ;Artificial neural networks;< 1 year;1341;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;qué es una red neuronal artificial;Lo elegí por que la información es suficiente y correcta;1342;https://blogthinkbig.com/redes-neuronales-deep-learning;redes neuronales;Lo elegí porque puede ayudar a entender las diferencias del aprendizaje automatico y el aprendizaje profundo;1343;https://www.bbvaopenmind.com/tecnologia/mundo-digital/que-es-el-aprendijaze-profundo/;qué es el aprendizaje profundo;Con este último documento es posible reforzar lo visto en los otros dos documentos. Sigue explicando o mismo pero de otra manera.;Mucho éxito con el trabajo;Short;Spanish;Text
70;30-34 years old;Man;Chilean;Spanish;Master;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;4-5 years;1351;https://juncotic.com/redes-neuronales-artificiales-que-son/;De la neurona a la red neuronal;tamaño, complejidad media, cantidad de información, ejemplos.;1352;https://blog.enzymeadvisinggroup.com/redes-neuronales-artificiales-y-deep-learning;Redes neuronales para dummies;Lectura de complejidad media, hartos ejemplos, nada de cálculos... se entiende la idea. Si lo hubiera encontrado antes lo pongo en 1er lugar;1353;http://www.cs.us.es/~fsancho/?e=72;Redes neuronales para dummies;Simbología... siempre que se pone simbología matemática todo es más difícil y menos entendible para una persona que aun tiene ciertos conocimientos limitados...;Un texto simple de un conocimiento complejo, es oro puro.;Short;Spanish;Text
71;18-24 years old;Man;Colombian;Spanish;Bachelor;Biomedical engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1361;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;funcionamiento de redes neuronales;sigo el blog compartido y me parece que sus informes son muy detallados;1362;https://www.ibm.com/support/knowledgecenter/es/SSLVMB_sub/statistics_mainhelp_ddita/spss/neural_network/nnet_whatis.html;Explicación de redes neuronales;es un blog que resalta la importacioa y parte de lo más basico para explicar que es una red neuronal;1363;https://medium.com/@williamkhepri/redes-neuronales-que-son-a64d022298e0;Redes neuronales;Describe un poco de historia para saber como nace esta técnica de programación y sus aportes, además de la explicación detallada de que son.;Quedo atento a sus resultados.;Short;Spanish;Text
72;45-49 years old;Man;Argentinian;Spanish;PhD;Biomedical engineering;Lecturer;;Research group;5;Computer ;Artificial neural networks;> 10 years;1371;https://medium.com/@williamkhepri/redes-neuronales-que-son-a64d022298e0;que son las redes neuronales ;baja complejidad y da sólo generalidades no matemáticas;1372;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;redes neuronales artificiales resumen;Contiene definiciones técnicas importantes, sin ser matemáticamente pesado;1373;http://colision-de-ideas.blogspot.com/2015/01/neuronas-artificiales-en-la-vida.html;redes neuronales aplicaciones vida cotidiana;Cierra un panorama general contando aplicaciones a dominios muy diversos;;Short;Spanish;Text
73;30-34 years old;Man;Argentinian;Spanish;PhD;Computer engineering;Faculty;;Research group;4;Computer ;Artificial neural networks;6-9 years;1381;https://github.com/lbugnon/kinderNet;;Aplicacion práctica para experiencias con redes neuronales y reconocimeinto de imágenes;1382;https://blog.gft.com/es/2018/11/06/como-usar-redes-neuronales-lstm-en-la-prediccion-de-averias-en-las-maquinas/;;lstm simple;1383;https://www.aprendemachinelearning.com/como-funcionan-las-convolutional-neural-networks-vision-por-ordenador/;redes convolucionales;simple para todos;;Long;Spanish;Text
74;50-54 years old;Man;Colombian;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;> 10 years;1391;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;;Es ágil y es fácil de entender;1392;https://scratch.mit.edu/projects/141053002/;;Permite ver como se hacen los cálculos en un perceptron;1393;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;;Es academico;;Short;Spanish;Text/Multimedia
75;45-49 years old;Man;Colombian;Spanish;PhD;Electronic engineering;Lecturer;;Higher-level institution;4;Physics ;Quantum computing;4-5 years;4051;https://www.redalyc.org/pdf/784/78430105.pdf;Qubit principio de superposición;Ofrece una breve reseña de la historia de la computación cuántica, y la definición de los conceptos de superposición y entrelazamiento cuántica.;4052;https://www.etsisi.upm.es/sites/default/files/ste_cc_ic_procesamiento_cuantico_de_la_informacion.pdf;Computación cuántica clasica qubit teletransportación;Ofrece mayores detalles sobre los conceptos de superposición y entrelazamiento cuántico, su diferencia sobre la computación clásica, y aplicaciones diversas como la teletransportación de qubits.;4053;https://blog.kaleidos.net/hello-world-cuantico/;qubit ibm computación cuántica;Este documento ofrece una introducción a la programación cuántica, usando una plataforma de programación basada en Python de libre uso y desarrollada por IBM. Este documento presenta ejemplos sencillos de implementación de las compuertas cuánticas básicas.;Antes del estudio de estos temas sobre computación cuántica, recomiendo una introducción o repaso del álgebra básica de vectores y matrices. No se requiere saber mecánica cuántica para aprender computación cuántica.;Long;Spanish;Text
76;35-39 years old;Man;Argentinian;Spanish;PhD;Computer engineering;Lecturer;;Research group;4;Computer ;Artificial neural networks;> 10 years;1401;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;redes neuronales;vocabulario, simpleza;1402;https://www.ibm.com/support/knowledgecenter/es/SS3RA7_sub/modeler_mainhelp_client_ddita/components/neuralnet/neuralnet_model.html;redes neuronales;vocabulario, simpleza;1403;https://www.aprendemachinelearning.com/breve-historia-de-las-redes-neuronales-artificiales/;redes neuronales;vocabulario, simpleza;;Short;Spanish;Text
77;50-54 years old;Woman;Colombian;Spanish;Master;Industrial engineering;Lecturer;;Higher-level institution;4;Industrial ;Industrial Revolution;2-3 years;3061;http://ocw.innova.uned.es/epica/his_contempo/contenidos/html/unidad2/unidad001_1.html;de las industrias agrarias a las industriales;es preciso y claro en la explicación ;3062;https://www.caracteristicas.co/segunda-revolucion-industrial/;expansion del proceso industrial ;explica de manera secuencial este proceso;3063;https://www.webyempresas.com/tercera-revolucion-industrial/;revolución tecnológica;corto y preciso;;Short;Spanish;Text
78;40-44 years old;Woman;Colombian;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1411;http://www.sc.ehu.es/ccwbayes/docencia/mmcc/docs/t8neuronales.pdf;Redes neuronales;Explica en detalle lo que son las redes neuronales, pero además lo hace en pocas páginas. ;1412;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;redes neuronales como funcionan;Explica porque han vuelto las redes neuronales.;1413;https://www.unocero.com/software/como-funcionan-las-redes-neuronales/;redes neuronales explicación;Es un texto bastante sencillo. ;;Long;Spanish;Text
79;40-44 years old;Man;Colombian;Spanish;Master;Industrial engineering;Lecturer;;Higher-level institution;4;Industrial ;Industrial Revolution;2-3 years;3071;http://www.idartes.gov.co/sites/default/files/2019-02/cartilla_artistas_jovenes_emprendedores.pdf;cartilla 4.0 para jóvenes pdf;Enfoque académico orientado hacia el emprendimiento.;3072;https://www.semana.com/educacion/articulo/cuarta-revolucion-industrial-una-reforma-para-el-sistema-educativo/599090;ppt industria 4.0 para jóvenes;Actualidad;3073;https://www.talentodigital.gov.co/635/w3-article-98228.html;industria 4.0 en colegios;Se presenta un ejemplo motivador para los jóvenes estudiantes.;;Short;Spanish;Text
80;35-39 years old;Woman;Colombian;Spanish;Master;Industrial engineering;Lecturer;;Higher-level institution;3;Industrial ;Industrial Revolution;2-3 years;3081;http://bachiller.sabuco.com/historia/revolucionesindustriales.pdf;REVOLUCIÓN INDUSTRIAL - EVOLUCIÓN - BREVE;De lenguaje sencillo, contiene imágenes, es corto ;3082;https://www2.deloitte.com/content/dam/Deloitte/co/Documents/about-deloitte/Revoluci%C3%B3n%204.0%20142201.pdf;REVOLUCIÓN INDUSTRIAL - INDUSTRIA 4.0;Es de actualidad, y tiene enfoque a la industria 4.0;3083;http://scielo.sld.cu/pdf/rus/v10n5/2218-3620-rus-10-05-153.pdf;REVOLUCION INDUSTRIAL - BREVE ;Es corto el texto, sencillo de leer y amplia en la última revolución industrial;;Short;Spanish;Text
81;35-39 years old;Woman;Chilean;Spanish;PhD;Computer engineering;Faculty;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1421;https://www.analyticslane.com/2018/05/23/implementacion-de-una-red-neuronal-desde-cero/;redes neuronales desde cero;tamaño del documento y vocabulario;1422;https://sites.google.com/site/mayinteligenciartificial/unidad-4-redes-neuronales;que son las redes neuronales inteligencia artificial;simple incluye video;1423;http://pabloem.github.io/Programando-una-red-neuronal/;redes neuronales ejemplo sencillos;ejmplo práctico;;Short;Spanish;Text
82;45-49 years old;Man;Ecuadorian;Spanish;PhD;Computer engineering;Student;5th year;Higher-level institution;5;Finance ;Investment projects;6-9 years;2061;https://dialnet.unirioja.es/descarga/articulo/3996606.pdf;Evaluación económica de proyectos de inversión;comprensión de la lectura, marco conceptual diverso y metodología utilizada;2062;https://dialnet.unirioja.es/descarga/articulo/5761552.pdf;herramientas financieras para evaluar proyectos de inversión;cantidad de información, aplicabilidad y estrategias para evaluación de proyectos de inversión;2063;https://es.slideshare.net/robertoespinoza581187/conceptos-y-teorias-sobre-proyectos;Formulación y Evaluación de proyectos de inversión;cantidad de información, claridad de la información, aspectos claves en la inversión;Interesante investigación en pro del aprendizaje permanente. Éxitos.;Long;Spanish;Text/Multimedia
84;35-39 years old;Man;Spanish;Spanish;PhD;Physics;Lecturer;;Research group;5;Physics ;Quantum computing;6-9 years;4061;https://www.jotdown.es/2017/04/la-carrera-ordenador-cuantico/;;Extenso artículo, bien desarrollado, información actualizada;4062;https://www.bbvaopenmind.com/tecnologia/innovacion/la-carrera-por-el-ordenador-cuantico/;carrera computador cuántico;actualizado, bien explicado, accesible;4063;https://es.wikipedia.org/wiki/Computaci%C3%B3n_cu%C3%A1ntica;;Extenso, actualizado,buenas referencias;;Short;Spanish;Text
85;35-39 years old;Man;Spanish;Spanish;PhD;Physics;Lecturer;;Research group;3;Physics ;Quantum computing;6-9 years;4071;https://elpais.com/tecnologia/2017/08/28/actualidad/1503873287_654592.html;ninguna, ya lo tenía archivado;menor complejidad, acceso libre;4072;https://blog.movetia.com/que-es-la-computacion-cuantica/;blog computación cuántica;menor complejidad, ejemplos, acceso libre;4073;https://yungranpasoparalahumanidad.blogspot.com/2019/02/computacion-cuantica-elias-fernandez.html;computacion cuantica para estudiantes;Mayor nivel de detalles, acceso libre;;Short;Spanish;Text
87;30-34 years old;Man;Chilean;Spanish;PhD;Physics;Faculty;;Research group;5;Physics ;Quantum computing;6-9 years;4081;https://www.lavanguardia.com/ciencia/20191023/471160827253/guia-ordenador-cuantico-google.html;Ordenador cuantico;Corto, preciso, claro;4082;https://www.fayerwayer.com/2013/09/qubit-la-unidad-fundamental-del-futuro-informatico-y-tecnologico/;Qubit;Información concisa y practica del qubit;4083;https://es.m.wikipedia.org/wiki/C%C3%BAbit;Qubit;Información más completa y detallada del qubit. Para profundizar un poco mas;Buena iniciativa. A veces un buen material audiovisual puede ser rápido de entender que un texto;Short;Spanish;Text
90;60 years or older;Man;Argentinian;Spanish;Master;Business;Lecturer;;Higher-level institution;5;Finance ;Investment projects;> 10 years;2071;http://www.monografias.com/trabajos16/proyecto-inversion/proyecto-inversion.shtml#INTRO;Proyectos de inversión para no financieros .doc;Complejidad de la lectura;2072;https://www.eoi.es/es/file/18724/download?token=5DV7ObUl;Idem anterior;Sencillez de las explicaciones;2073;http://fcasua.contad.unam.mx/apuntes/interiores/docs/20172/administracion/8/LA_1825_13067_A_Admon_proyectos_invers.pdf;Idem anterior;Exhaustividad en el tratamiento del tema;;Long;Spanish;Text
91;35-39 years old;Man;Chilean;Spanish;PhD;Industrial engineering;Lecturer;;Higher-level institution;5;Industrial ;Industrial Revolution;6-9 years;3091;https://hbsp.harvard.edu/product/IIR182-PDF-ENG?Ntt=industry+4.0&itemFindingMethod=Search;Cyber-Physical Value Chains;Es un excelente artículo sobre el tema y es adecuado en extensión para públicos de alumnos de pregrado y postgrado;3092;https://hbsp.harvard.edu/product/R1411D-PDF-ENG?Ntt=bigdata&itemFindingMethod=Search;bigdata, sensors;Artículo muy relevante en el tema y largo adecuado;3093;https://hbsp.harvard.edu/product/R1210C-PDF-ENG?Ntt=bigdata&itemFindingMethod=Search;bigdata, management revolution;Artículo central en el tema de la revolución industrial actual;;Long;English;Text
93;35-39 years old;Man;Spanish;Spanish;PhD;Physics;Faculty;;Research group;2;Physics ;Quantum computing;> 10 years;4091;https://www.xataka.com/ordenadores/computacion-cuantica-que-es-de-donde-viene-y-que-ha-conseguido;Computación cuántica;Es sencillo, sin fórmulas, y da una visión general. Tiene puntos que no son del todo correctos, pero no afectan a la comprensión general;4092;https://es.wikipedia.org/wiki/Cúbit;Qubit cuántico;Es un documento más técnico que el anterior que introduce las matemáticas básicas. Muy posiblemente un estudiante medio de secundaria se pierda con la notación, ya que no se estudia en secundaria, pero los conceptos en sí de álgebra lineal sí serían accesibles con una lección introductoria muy breve.;4093;http://www.criptored.upm.es/crypt4you/temas/cuantica/leccion3/leccion03.html;Algoritmo cuántico;Es el documento más técnico con diferencia y es muy posible que no sean capaces de seguir las matemáticas en detalle, pero sí coger una idea general del porqué los recursos cuánticos permiten acelerar la computación;Desafortunadamente, la computación cuántica es un tema cuyo idioma nativo es el inglés, y los recursos didácticos en español son pocos y de una calidad relativa. ;Short;Spanish;Text/Multimedia
94;55-59 years old;Man;Chilean;Spanish;Master;;Student;2nd year;Higher-level institution;5;Computer ;Artificial neural networks;4-5 years;1431;https://es.wikipedia.org/wiki/Red_neuronal_artificial;redes neuronales;complejidad de la lectura y tamaño del documento;1432;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;redes neuronales;complejidad de la lectura y tamaño del documento;1433;https://www.codigofuente.org/redes-neuronales-profundas-tipos-caracteristicas/;redes neuronales profundas;complejidad de la lectura y tamaño del documento;Considero que las rectricciones sobre los documentos a leer son apropiadas para el rango de edad especificado de los estudiantes;Short;Spanish;Text
95;35-39 years old;Man;Mexican;Spanish;PhD;Biomedical engineering;Faculty;;Higher-level institution;4;Computer ;Artificial neural networks;4-5 years;1441;https://la.mathworks.com/discovery/neural-network.html;matlab redes neuronales;Es un tutorial bien realizado, en particular por la disponibilidad de ejemplos varios.;1442;https://www.toptal.com/machine-learning/un-tutorial-de-aprendizaje-profundo-de-perceptrones-a-redes-profundas;tutorial redes neuronales;Da una introducción sobre diversos modelos de aprendizaje automático, no solamente redes neuronales;1443;https://unipython.com/desarrolla-primera-red-neural-python-keras-paso-paso/;redes neuronales para principiantes;Principalmente por el contenido práctico que te lleva de la mano para crear tu primer programa de red neuronal artificial;;Short;Spanish;Text
